SampleID,treatment,crop,harvest,drought,planted,summarise,summarise_new,dna_rna
DNA_219,H3WW(P1),bean,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_220,H3WW(P2),bean,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_221,H3WW(P3),bean,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_222,H3WW(P4),bean,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_223,H3WW(P5),bean,Day 4,watered,planted,Day 4planted,watered_planted,DNA
DNA_226,H3WW(U1),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_227,H3WW(U2),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_228,H3WW(U3),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_229,H3WW(U4),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_230,H3WW(U5),bean,Day 4,watered,unplanted,Day 4unplanted,watered_unplanted,DNA
DNA_231,H4WW(P1),bean,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_232,H4WW(P2),bean,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_233,H4WW(P3),bean,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_234,H4WW(P4),bean,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_235,H4WW(P5),bean,Day 5,watered,planted,Day 5planted,watered_planted,DNA
DNA_236,H4WW(U1),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_237,H4WW(U2),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_238,H4WW(U3),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_239,H4WW(U4),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_240,H4WW(U5),bean,Day 5,watered,unplanted,Day 5unplanted,watered_unplanted,DNA
DNA_243,H5WW(P1),bean,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_244,H5WW(P2),bean,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_245,H5WW(P3),bean,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_246,H5WW(P4),bean,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_247,H5WW(P5),bean,Day 6,watered,planted,Day 6planted,watered_planted,DNA
DNA_248,H5WW(U1),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_249,H5WW(U2),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_250,H5WW(U3),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_251,H5WW(U4),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
DNA_252,H5WW(U5),bean,Day 6,watered,unplanted,Day 6unplanted,watered_unplanted,DNA
cDNA_127,PreDr(P1),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_128,PreDr(P2),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_129,PreDr(P3),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_130,PreDr(P4),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_131,PreDr(P5),bean,Day 0,pre-drought,planted,Day 0planted,pre-drought_planted,RNA
cDNA_134,PreDr(U1),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_135,PreDr(U2),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_136,PreDr(U3),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_137,PreDr(U4),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_138,PreDr(U5),bean,Day 0,pre-drought,unplanted,Day 0unplanted,pre-drought_unplanted,RNA
cDNA_139,H1Dr(P1),bean,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_140,H1Dr(P2),bean,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_141,H1Dr(P3),bean,Day 2,drought,planted,Day 2planted,drought_planted,RNA
